date,steps,sleep_hours,mood
11/8/2022,12536,7,sad
3/9/2022,12555,6.5,happy
12/6/2022,12612,11.4,tired
26/08/2022,12667,8,stressed
7/8/2022,12721,5.4,energetic
26/12/2022,12806,7.3,tired
20/04/2022,12807,7,happy
30/04/2022,12956,7,stressed
6/7/2022,12976,8,sad
9/3/2022,13030,8,stressed
18/11/2022,13046,7,stressed
7/9/2022,13059,6,energetic
20/01/2022,13067,11.8,tired
1/7/2022,13069,6,happy
14/11/2022,13091,9,energetic
5/12/2022,13106,11.8,happy
16/07/2022,13114,8,tired
16/01/2022,13141,6.5,tired
3/8/2022,13226,7,sad
21/07/2022,13272,8,sad
10/2/2022,13295,3.5,happy
15/08/2022,13393,10.5,happy
28/06/2022,13411,7,tired
6/8/2022,13507,9,energetic
11/6/2022,13572,6,stressed
17/10/2022,13617,7,sad
16/01/2022,13681,10.9,tired
14/11/2022,13696,8,tired
19/12/2022,13790,8,energetic
12/1/2022,13813,6.5,tired
3/9/2022,13822,11.8,sad
2/5/2022,13855,9.6,happy
12/8/2022,13923,9,sad
9/2/2022,13972,6,energetic
7/2/2022,13973,6.8,energetic
25/04/2022,14008,12,energetic
27/02/2022,14058,6.5,sad
8/9/2022,14113,7,stressed
7/3/2022,14118,6,stressed
29/12/2022,14136,5.5,happy
9/8/2022,14137,5.5,sad
18/04/2022,14176,3.6,stressed
3/9/2022,14194,6,stressed
18/06/2022,14219,11.4,energetic
19/08/2022,14242,9,happy
12/9/2022,14360,6,energetic
29/12/2022,14360,10.1,happy
4/2/2022,14365,5,happy
2/8/2022,14379,7,stressed
20/02/2022,14418,6.7,tired
29/03/2022,14426,6,sad
11/8/2022,14635,11.1,stressed
9/11/2022,14657,8.7,tired
28/03/2022,14731,6.5,tired
2/7/2022,14782,9.8,energetic
31/05/2022,14891,8.3,energetic
29/09/2022,14914,9,energetic
3/3/2022,14928,8.7,happy
9/4/2022,14937,7,stressed
4/8/2022,14952,6,energetic
24/07/2022,15005,8.2,happy
13/03/2022,15006,6.5,happy
13/12/2022,15017,6.5,stressed
28/11/2022,15023,6,energetic
27/11/2022,15059,8,energetic
15/12/2022,15063,6,energetic
31/07/2022,15149,7,energetic
19/05/2022,15203,6.5,energetic
27/07/2022,15271,3.4,happy
27/12/2022,15294,3.6,happy
9/5/2022,15316,5.9,energetic
3/5/2022,15322,8,sad
24/02/2022,15413,6.5,energetic
19/01/2022,15433,7.8,happy
9/7/2022,15435,6.5,energetic
12/6/2022,15534,3.1,happy
5/6/2022,15558,7,sad
26/06/2022,15572,7,stressed
5/12/2022,15592,6.5,happy
12/11/2022,15725,8,happy
24/01/2022,15730,11.8,energetic
19/05/2022,15786,6,sad
4/7/2022,15792,7,energetic
4/4/2022,15793,8,happy
30/06/2022,15818,11.1,stressed
28/06/2022,15842,6,tired
25/03/2022,15893,8,tired
6/1/2022,15995,7,stressed
14/03/2022,16031,7,happy
29/04/2022,16099,6,energetic
20/08/2022,16103,3.1,sad
1/8/2022,16123,8,sad
28/11/2022,16126,6,happy
4/1/2022,16168,6.2,stressed
26/11/2022,16172,7,sad
29/12/2022,16177,7,tired
29/10/2022,16191,6.5,happy
25/10/2022,16195,7,stressed
21/09/2022,16227,10.4,stressed
22/09/2022,16245,8,tired
8/2/2022,16308,10.6,energetic
15/04/2022,16316,7,happy
13/12/2022,16348,5.1,tired
9/12/2022,16387,6,happy
12/9/2022,16404,10.5,energetic
1/6/2022,16481,8,happy
20/09/2022,16562,6.2,stressed
24/07/2022,16702,11,stressed
23/09/2022,16796,7,energetic
23/06/2022,16810,6,energetic
9/1/2022,16810,6.3,stressed
6/9/2022,16857,9,tired
21/09/2022,16895,8,stressed
26/11/2022,16966,8,stressed
6/8/2022,17002,9,tired
13/03/2022,17094,6.5,sad
6/3/2022,17134,4.8,stressed
30/10/2022,17138,6,energetic
3/11/2022,17150,8.8,sad
24/09/2022,17183,7.1,tired
3/4/2022,17215,6.5,stressed
13/07/2022,17290,11.6,energetic
4/5/2022,17376,8,energetic
11/3/2022,17380,8.5,tired
21/03/2022,17380,7,happy
11/3/2022,17390,6.5,energetic
22/01/2022,17418,9,stressed
20/08/2022,17536,8.3,tired
16/11/2022,17751,7,happy
21/03/2022,17762,8,stressed
23/01/2022,17812,8,stressed
14/10/2022,17953,6.5,energetic
19/06/2022,17957,8,stressed
18/11/2022,17964,4.4,sad
1/4/2022,17993,7,stressed
12/1/2022,17999,6,energetic
25/07/2022,18018,11.2,sad
14/09/2022,18027,9,energetic
14/06/2022,18045,8,happy
27/10/2022,18052,6.5,sad
17/10/2022,18061,8,energetic
11/11/2022,18102,6.5,energetic
20/05/2022,18165,6.7,energetic
14/04/2022,18189,8,sad
17/08/2022,18194,9,stressed
27/09/2022,18276,8,happy
10/10/2022,18313,6.5,stressed
14/01/2022,18329,6.5,energetic
7/7/2022,18361,5.2,tired
20/06/2022,18407,6.5,happy
5/5/2022,18432,8,stressed
6/6/2022,18442,7,energetic
4/4/2022,18451,8,sad
6/3/2022,18571,7,stressed
8/2/2022,18581,8,tired
14/09/2022,18641,8,tired
16/06/2022,18653,6,tired
20/03/2022,18655,6,sad
23/09/2022,18668,3.1,tired
13/07/2022,18671,7,tired
11/2/2022,18684,8,sad
4/10/2022,18691,6.5,stressed
23/03/2022,18693,6,tired
10/2/2022,18702,6,happy
29/05/2022,18728,8,tired
13/08/2022,18841,6,stressed
20/06/2022,18869,6.5,stressed
19/10/2022,18871,3.4,sad
4/4/2022,18899,7,happy
22/09/2022,18922,9,energetic
24/06/2022,18989,8,stressed
3/5/2022,19113,9,happy
7/6/2022,19120,8,sad
14/06/2022,19143,6,happy
16/08/2022,19162,5.3,stressed
27/05/2022,19181,7,sad
9/1/2022,19260,6.5,stressed
22/12/2022,19287,6.5,energetic
29/05/2022,19292,8.5,stressed
29/12/2022,19309,6.3,tired
2/12/2022,19327,7.1,stressed
4/3/2022,19336,6.2,happy
19/02/2022,19389,8,sad
4/5/2022,19451,6,tired
22/04/2022,19529,10.7,stressed
1/4/2022,19543,9,happy
29/12/2022,19651,4.8,tired
30/05/2022,19679,3.3,sad
22/08/2022,19683,6.4,happy
30/07/2022,19702,6,happy
25/06/2022,19860,4.8,happy
1/6/2022,19915,6.5,energetic
21/05/2022,19940,6,tired
25/10/2022,19949,6,tired
28/09/2022,19969,6.5,sad
14/01/2022,19979,7,energetic
